ﾌｧｲﾙ名 総ｽﾃｯﾌﾟ 実ｽﾃｯﾌﾟ ﾃﾞﾊﾞｯｸﾞ文 ｺﾒﾝﾄ文 命令文 定義文 ﾌﾟﾘﾌﾟﾛ
fdebug.c 134 134 0 0 118 4 12
os_CheckFiledes.c 93 11 0 82 10 0 1
os_CheckRCode.c 87 55 0 32 50 3 2
os_ChkPB.c 289 172 0 117 156 15 1
os_Date2DayTime.c 254 161 0 93 133 27 1
os_DayTime2Date.c 217 124 0 93 115 8 1
os_EndCod.c 111 6 0 105 4 1 1
os_ErrorSetTimer.c 118 31 0 87 27 3 1
os_GetAsso.c 91 6 0 85 5 0 1
os_GetEbpcTableInd.c 122 35 0 87 30 4 1
os_GetEmbcTableInd.c 257 130 0 127 129 0 1
os_GetSerNum.c 90 6 0 84 5 0 1
os_GstPrSep.c 131 39 0 92 33 1 5
os_IsFileConnect.c 101 12 0 89 10 1 1
os_IsFileOpen.c 101 12 0 89 10 1 1
os_KeyGen.c 131 31 0 100 21 4 6
os_MBISearch.c 128 41 0 87 34 1 6
os_MainMsgQ.c 559 331 0 228 330 0 1
os_MsgQDel.c 215 106 0 109 105 0 1
os_MsgQIng.c 495 298 0 197 277 20 1
os_MsgRcv.c 147 42 0 105 41 0 1
os_MsgRcvEdit.c 496 261 0 235 220 40 1
os_MyEMBC.c 153 60 0 93 48 4 8
os_MyEPRC.c 143 49 0 94 37 4 8
os_MyMBoxSearch.c 106 19 0 87 11 2 6
os_MyProSearch.c 105 19 0 86 11 2 6
os_PRSearch.c 125 25 0 100 16 2 7
os_SendTimeOutMsg.c 174 79 0 95 65 4 10
os_SetTimer.c 356 268 0 88 247 20 1
os_SubMsgAtc2.c 168 54 0 114 49 1 4
os_SubMsgQ.c 428 235 0 193 210 24 1
os_abort.c 166 53 0 113 52 0 1
os_dflact.c 97 31 0 66 28 2 1
os_dflact2.c 114 46 0 68 42 2 2
os_endProcess.c 315 133 20 162 112 11 10
os_endSG.c 125 30 0 95 18 0 12
os_endSystem.c 467 244 0 223 216 18 10
os_fceterm.c 4 3 0 1 3 0 0
os_freeSG.c 156 49 0 107 37 0 12
os_getSG.c 180 74 0 106 62 0 12
os_gttrmcod.c 255 125 0 130 111 5 9
os_initEBPC.c 335 204 0 131 175 19 10
os_initEFLC.c 198 68 35 95 49 11 8
os_initEMBC.c 176 67 0 109 54 7 6
os_initEMMC.c 395 298 0 97 277 12 9
os_initEPBC.c 118 31 0 87 23 2 6
os_initEPRC.c 315 212 0 103 187 15 10
os_initERDC.c 205 68 35 102 47 13 8
os_initESBP.c 195 91 0 104 76 9 6
os_initESMC.c 130 43 0 87 30 5 8
os_initETMC.c 257 80 36 141 66 5 9
os_initProcess.c 621 374 0 247 341 21 12
os_initSG.c 327 180 0 147 163 4 13
os_initSystem.c 437 291 0 146 256 25 10
os_initTrade.c 363 246 0 117 214 24 8
os_libmtre.c 246 3 0 243 2 1 0
os_sigact.c 366 190 0 176 186 3 1
os_startSG.c 170 56 0 114 44 0 12
os_systim.c 198 99 0 99 90 3 6
os_tcpex.c 1667 1234 0 433 1215 6 13
os_timex.c 133 41 0 92 37 1 3
os_tmcan.c 144 57 0 87 50 4 3
os_tmctl.c 232 140 0 92 130 7 3
os_trcget.c 533 222 0 311 188 26 8
os_treterm.c 55 24 0 31 21 1 2
osanyrl.c 402 235 0 167 231 0 4
osatbp.c 5 4 0 1 3 1 0
osatrqev.c 6 5 0 1 3 2 0
